Standard,Year,QUESTION,Primary,Secondary,text,order,type
90944,2022,1,1,1,{img},1,n
90944,2022,1,1,2,"Both ions: 2,8,8.",2,n
90944,2022,1,,,• Correctly gives the electron arrangement of both atoms in (i)  OR  Both ions in (ii). Accept written e arrangements.,3,a
90944,2022,1,1,3,"S needs to gain 2 electrons to have a full outer shell and become stable. S forms a S2– ion, which has a charge of 2–, as it now has 18 negative electrons and 16 positive protons. Cl needs to gain one electron to have a full outer shell and become stable. Cl gains 1 electron to form Cl– ion, which has a charge of –1, as it now has 18 negative electrons and 17 positive protons.  Therefore, S2– and Cl– ions now both have the same electron arrangement of 2,8,8.",4,n
90944,2022,1,,,"• States that full outer shells are stable. Accept ‘full valence shells’ as stable for A.  • Defines ion, e.g. an ion is an atom that gains or loses electrons to get a full outer shell.  • Correct number of protons for both.  • Correct charge for both / number of electrons gained.",5,a
90944,2022,1,,,"• Explains that sulfide and chloride ions have the same electron arrangement (2,8,8), as sulfur has gained 2 electrons to get a full outer shell / become stable, and chlorine has gained one electron to get a full outer shell / to become stable. • Explains how two ions have different charge: S2– now has two more electrons than protons, and Cl– has one more electron than protons.",6,m
90944,2022,1,,,"• Explains why the two ions have the same electronic arrangement: achieve stable, full outer shells by S gaining two electrons, Cl gaining one electron, and therefore having the same electron arrangement of 2,8,8  AND  Explains why two ions have the same arrangement, but a different charge: sulfide ion is S2–, as it now has two more negative electrons than positive protons, and chloride ion is Cl–, as it now has one more negative electron than positive protons. ",7,e
90944,2022,1,2,1,{img},8,n
90944,2022,1,,,• ONE row of table correct OR ONE column of table correct. ,9,a
90944,2022,1,,,• Table complete with ONE observation explained. ,10,m
90944,2022,1,,,"• Explanations to correctly identify solutions, with observations linked to properties (i.e. complete table and ALL observations explained).",11,e
90944,2022,1,2,2,"Only Vitamin C is an acid, so will turn blue litmus red.  Vitamin B6 is a base, so will have no effect on blue litmus. Calcium carbonate will undergo a neutralisation reaction with the acidic Vitamin C to produce bubbles (of carbon dioxide) / fizzing. Vitamin B6 cannot neutralise the calcium carbonate, so no bubbles / fizzing are seen.",12,n
90944,2022,1,,,• Explains one observation.,13,a
90944,2022,2,1,1,"As the temperature of the vinegar/ acid/ mixture  increases, the particles move faster and have more energy. There are more collisions per second between the reacting particles due to faster speed, and more of these collisions have enough energy to cause a reaction. Therefore, increasing the temperature will cause more successful collisions per second, and the reaction will occur faster.",1,n
90944,2022,2,,,• Increasing temperature causes more (frequent) collisions OR converse.  • Increasing temperature means particles have more energy / move faster OR converse.  • Reaction occurs when particles collide successfully. OR More (successful) collisions per second cause a faster rate of reaction (or from above).,2,a
90944,2022,2,,,"• Explains that the higher temperature causes the particles to move faster; therefore there will be more frequent collisions / more collisions per second / more collisions per unit of time.  • Acid particles at higher temperatures will have more energy / force, resulting in more successful collisions.",3,m
90944,2022,2,,,"• Fully explains that increased temperature leads to faster particles colliding more often.  AND  More of these collisions have enough energy / force to cause successful collisions / reactions. Therefore, there will be more successful collisions per second / more successful collisions will happen more frequently so rate of reaction will be faster.",4,e
90944,2022,2,2,1,"Section A: The steep line shows the reaction is fast. There are more reactant particles, so more collisions per second. More product particles are being formed, including more gas, so more gas is collected.  Section B: The line is less steep, so the reaction has slowed. There are fewer reactant particles, so fewer successful collisions per second and so less product is being made, so the volume of gas increases less quickly.  Section C: The line is horizontal so the reaction has stopped because one of the reactants has been used up, so there are no more collisions between reacting particles, so no gas is produced. ",5,n
90944,2022,2,,,"• Describes difference in rates in each section, e.g.: A: Fast B: Slower C: No reaction • Links number OR concentration of reactant particles present to number of collisions in one section.",6,a
90944,2022,2,,,"• Explains rate in TWO sections linked to reactants or products and particle collisions, e.g.:  A: Reaction is fast, there are many reactant particles, so more collisions. B: Reaction is slowing, as there are fewer particles to collide. C: Reaction has stopped, as there are no more reactant particles to collide.",7,m
90944,2022,2,,,"• Full explanation of rate in each stage, including a link between gradient/ number of particles available to collide (collisions per second) AND reaction rate.",8,e
90944,2022,2,3,1,The concentration of the solution is changed. ,9,n
90944,2022,2,,,• Identifies concentration. OR  States that the added water reduces the concentration.,10,a
90944,2022,2,3,2,"When water is added, the acid is diluted. In the diluted acid, there are fewer acid particles / H+ ions / vinegar particles in the same volume of the acid. Because of this, there are fewer particles available to collide with the sodium hydrogen carbonate particles. Because there are fewer to collide, less successful collisions occur per second, and the rate of reaction is slower.",11,n
90944,2022,2,,,"• Definition of rate of reaction e.g., the number of particle collisions per second.  OR  Definition of collision theory e.g. particles collide / hit / at the correct orientation with enough energy. • Less concentrated acid has less acid / H+ particles to react. OR  When there are less reactants / particles / reactant particles, there are fewer collisions. • Reaction rate is slower with decreased concentration. OR  When vinegar /particles are more spread out, the reaction is slower.",12,a
90944,2022,2,,,"• Explains that by decreasing the concentration of the acid / the reaction with the lower concentration, there are fewer acid particles present to collide (successfully) so the reaction rate is slower.",13,m
90944,2022,2,,,"• Fully explains why the reaction is slower, by linking the ideas that there are fewer acid particles (in the same unit volume / per volume) available for less successful collisions, and hence there will be less frequent collisions / collisions per second / collisions per unit time, causing the slower reaction rate",14,e
90944,2022,3,1,1,{img},1,n
90944,2022,3,,,• Any ONE correct ratio. ,2,a
90944,2022,3,1,2,"Copper forms an ion with a charge of +2. It requires two negative charges to form a neutral compound. The hydroxide ion has a charge of –1, so two hydroxide ions, with a combined charge of –2 are required to cancel out the charge on the copper ion. The carbonate ion has a charge of –2, so only one carbonate ion is required to cancel out the charge on the copper ion.",3,n
90944,2022,3,,,• States that overall an ionic compound has no charge. • States that the +2 charge on the copper ion cancels out / balances the two –1 charges on the hydroxide ions. • States that the +2 charge on the copper ion cancels out / balances the –2 charge on the carbonate ion.,4,a
90944,2022,3,,,"• Explains that because the copper ion has a charge of +2 and the hydroxide ion has a charge of –1, the ratio of copper ions to hydroxide ions is 1:2.  • Explains that because the copper ion has a charge of +2 and the carbonate ion has a charge of –2, the ratio of copper ions to carbonate ions is 1:1.  OR   Alternative of M1 or M2 (one M point only) . OR  Explains in terms of electron transfer for one of the compounds.",5,m
90944,2022,3,,,"• Fully explains the ratio of ions in both copper hydroxide AND copper carbonate in terms of the balance of positive and negative charges in the two compounds, AND must include the compounds have no charge / zero charge are neutrally charged.",6,e
90944,2022,3,2,1,copper hydroxide + hydrochloric acid ® copper chloride + water  Cu(OH)2 + 2HCl ® CuCl2 + 2H2O  ,7,n
90944,2022,3,,,• Correct word equation. Check carefully for the incorrect ‘chloric’.,8,a
90944,2022,3,,,"• Correct formulae for symbol equation, but not balanced.",9,m
90944,2022,3,,,• Correctly balanced symbol equation.,10,e
90944,2022,3,3,1,Neutralisation reaction.,11,n
90944,2022,3,,,• Neutralisation or Acid-base reaction,12,a
90944,2022,3,3,2,"In discussion accept H+ or H3O+.  As the Cu(OH)2 is added, the HCl is being neutralised as water is formed.  When no Cu(OH)2 is added, the universal indicator paper is red and has pH 1–2 because there is an excess of H+ ions.  While the Cu(OH)2 is being added, there is still an excess of H+ ions, but not as big. The pH is 4–5.  The paper is orange as the solution is still slightly acidic.  When the numbers of H+ and OH– ions are equal, the solution is neutralised, the paper is green and the pH is 7.  As more Cu(OH)2 is added, the universal indicator paper is now blue. The solution has an excess of OH– ions and is basic / alkaline with a pH greater than 7. ",13,n
90944,2022,3,,,"• Links two pH values to correct colours.  • Identifies that H+ ions are neutralised as OH– ions are added.   • At pH 7 / neutral, – acid and base cancel out.  OR  H+ = OH– at pH 7.",14,a
90944,2022,3,,,"• Links UI colours to two correct pH values and relative concentrations of ions present. • Explains that once a sufficient number of OH– ions have been added to neutralise all the H+ ions (to form water), the pH equals 7.",15,m
90944,2022,3,,,"• Fully explains and links the colour changes to the changing pH, relative concentration of H+ ions and OH– ions present, and neutralisation reaction occurring (pH 7 when H+ = OH– and neutral substances / water made).",16,e
