Standard,Year,QUESTION,Primary,Secondary,text,order,type
90983,2022,1,1,1,Values are the beliefs used when deciding how to behave and what to think.,,n
90983,2022,1,,,Correct definition,,a
90983,2022,1,2,1,"Financial stability, being frugal, any logical answer",,n
90983,2022,1,,,Correct answer,,a
90983,2022,1,3,1,Any reasonable answer (not limited to): • fitness • physical health • pride in his shoe collection.,,n
90983,2022,1,,,Any ONE correct value.,,a
90983,2022,1,,,Any TWO correct values.,,m
90983,2022,1,4,1,"As a result of scarcity (limited means versus unlimited wants and needs), Tama will need to make some choices. He must choose which activity or activities are the most important for him to spend (or save) his limited money. When he chooses one activity over another, e.g., chooses to buy new shoes for his collection instead of paying for a training session, he is giving up the next best alternative, which is defined as his opportunity cost. For example, choosing to buy new shoes is sacrificing paying for a training session. His opportunity cost is the training session as it is the next best alternative foregone.",,n
90983,2022,1,,,Describes scarcity and identifies a choice OR describes an opportunity cost.,,a
90983,2022,1,,,Explains the link between scarcity and choice OR explains why there is an opportunity cost.,,m
90983,2022,1,,,"Explains the links between the concepts of scarcity, choice, and opportunity cost in the context of Tama’s decision.",,e
90983,2022,1,5,1,Tama could put some money aside for his shoes and buy only one extra training session. Other valid compromises acceptable.,,n
90983,2022,1,,,Explains a suitable compromise for Tama.,,m
90983,2022,1,,,Explains a suitable compromise and links to limited money,,e
90983,2022,1,6,1,A superior product is known as a luxury good in economics. A luxury good is often more expensive and made from higher quality materials,,n
90983,2022,1,,,dentified as a luxury good.,,a
90983,2022,1,,,dentifies and defines a luxury good.,,m
90983,2022,1,7,1,"If Tama’s income were to decrease, then his demand for the luxury / superior shoe would decrease as it would be less affordable so he would be more likely to choose a normal or inferior shoe.",,n
90983,2022,1,,,Correctly identifies decrease in demand if income decreases,,a
90983,2022,1,,,Identifies decrease in demand due to being relatively less affordable and so more likely to choose a normal / inferior good,,m
90983,2022,2,1,1,{img},,n
90983,2022,2,,,"Shows on graph: • title (incl. time) • axes (P $, Q balls) • line plotted • label (D) • scale (even / accurate).",,a
90983,2022,2,2,1,{img},,n
90983,2022,2,,,"Accurately Identifies movement down the demand curve with dotted lines, arrows, and labels.",,a
90983,2022,2,3,1,"The law of demand states that as the price decreases, the quantity demanded increases (and vice versa), assuming ceteris paribus – i.e., all other factors remain unchanged. Tama’s annual quantity demand for rugby balls will increase from 20 balls per year to 30 balls per year (Q to Q1) when the price per ball decreases from $25 to $15 (P to P1). This is because rugby balls have now become relatively less expensive for Tama than previously. Therefore, Tama can now afford to buy more balls per year with his given level of income.",,n
90983,2022,2,,,States that the quantity demanded will increase. Identifies a valid reason for rugby balls being purchased.,,a
90983,2022,2,,,"Explains the law of demand and the idea of increased affordability, with some reference to data from the graph.",,m
90983,2022,2,,,"Explains the law of demand, using correct data linking to increased affordability and referring to ceteris paribus. Refers to the changes on the graph and uses correct data and economic terminology.",,e
90983,2022,2,4,1,"Tama’s rugby team might train with another team at the same time as they can afford more balls to train with. Tama can train more often or at more suitable times due to being able to split the squad because of increased resources. Tama’s team start winning games, win more often, or have better results due to … any other reasonable flow-on effects considered. Tama is able to spend more on other goods / services if the price decrease results in less total spending on rugby balls.",,n
90983,2022,2,,,Explains a flow-on effect for Tama,,m
90983,2022,2,,,Explains two flow-on effects for Tama.,,e
90983,2022,3,1,1,Energy drinks and sports drinks are substitutes as Tama can use either to hydrate himself / drink before or after practice. Substitutes are goods used instead of each other.,,n
90983,2022,3,,,Identifies energy drinks and sports drinks as substitutes.,,a
90983,2022,3,,,Identifies energy drinks and sports drinks as substitutes AND defines substitutes (in terms of goods being used in place of each other),,m
90983,2022,3,,,Identifies energy drinks and sports drinks as substitutes AND explains why they are substitutes in context for Tama,,e
90983,2022,3,2,1,{img},,n
90983,2022,3,,,Identifies: • movement upwards along the demand curve for energy drinks • shifting right of demand curve for sports drinks.,,a
90983,2022,3,3,1,"When the price of energy drinks increases from P to P1, the quantity demanded of energy drinks decreases from Q to Q1, and Tama will increase his demand for sports drinks since they are now relatively more affordable, and he substitutes energy drinks for sports drinks. The increase in demand for sports drinks is shown by a shift of the demand curve right from D to D1, meaning more sports drinks will be demanded at each and every price.",,n
90983,2022,3,,,Identifies more sports drinks being purchased and fewer energy drinks being purchased.,,a
90983,2022,3,,,Explains: • increase in demand for sports drinks • decrease in QD for energy drinks. Must include a valid reason for the changes.,,m
90983,2022,3,,,"Explains shift right of the demand curve for sport drinks, with reference to the graph, and correct use of economic terms (e.g. substitutes, relative affordability). Links increase in demand for sports drinks with decrease in QD for energy drinks",,e
90983,2022,3,4,1,"Possible flow-on effects: • Tama could go into caffeine withdrawal from not drinking as many energy drinks. • Tama may train differently – either better due to change in what he is putting into his body, or worse as the energy drinks used to give him a boost in training. • Tama could have more money to spend on other things (if spending less money on drinks).",,n
90983,2022,3,,,Explains a flow-on effect for Tama,,m
90983,2022,3,,,Explains two flow-on effects for Tama.,,e
